seconds,nanoseconds
0,90749
0,23047
0,14877
0,13479
0,14966
0,14640
0,13260
0,33720
0,15318
0,13728
0,39907
0,16090
0,15185
0,34871
0,18589
0,15857
0,15196
0,15558
0,14453
0,14747
0,14695
0,14644
0,16068
0,15127
0,15653
0,16448
0,17135
0,18022
0,17058
0,17658
0,18069
0,17698
0,17493
0,15774
0,14304
0,14136
0,14675
0,14447
0,14209
0,14111
0,14258
0,14512
0,14324
0,14151
0,15488
0,14069
0,14042
0,14002
0,14151
0,13671
0,13859
0,13812
0,14857
0,13714
0,13930
0,13741
0,14263
0,13894
0,14056
0,14068
0,14561
0,13719
0,13814
0,3517486
0,15500
0,16186
0,16074
0,23908
0,13855
0,13284
0,13782
0,13435
0,23243
0,23564
0,13551
0,13844
0,13485
0,13323
0,13761
0,13519
0,13636
0,13477
0,23418
0,23342
0,13692
0,23275
0,23353
0,13925
0,13666
0,13562
0,24842
0,23403
0,13299
0,13427
0,14311
0,13509
0,45454770
0,13541
0,15243
0,16372
