TOTAL_BYTES,TIME_NS
0,2646621

160000,4829799

320000,6371434

480000,5758891

640000,6950566

800000,9199647

960000,10060566

1120000,11570346

1280000,12365330

1440000,13648645

1600000,15508508

1760000,16802598

1920000,17708719

2080000,20332458

2240000,21433072

2400000,22012326

2560000,23773327

2720000,24547592

2880000,26822391

3040000,28977612

3200000,30757168

3360000,30944877

3520000,32228467

3680000,35570823

3840000,34946884

4000000,36105889

4160000,41114201

4320000,40416848

4480000,40843896

4640000,41858289

4800000,43127686

4960000,44748471

5120000,56290788

5280000,54586030

5440000,49314419

5600000,54621841

5760000,55388199

5920000,58943433

6080000,63123992

6240000,57792836

6400000,57522002

6560000,63363777

6720000,61696651

6880000,62823057

7040000,64026430

7200000,65531165

7360000,65993065

7520000,70734360

7680000,69770323

7840000,71057310

8000000,72235664

8160000,78484191

8320000,82870894

8480000,78383741

8640000,84404588

8800000,85515227

8960000,83762044

9120000,93482706

9280000,86621008

9440000,88068203

9600000,87764406

9760000,96657727

9920000,91591969

10080000,90307011

10240000,95598230

10400000,99372749

10560000,102259610

10720000,97042853

10880000,104806711

11040000,102213844

11200000,105174943

11360000,107420107

11520000,110147982

11680000,116591325

11840000,109592980

12000000,120561409

12160000,110204174

12320000,111988423

12480000,117697924

12640000,114065293

12800000,118240344

12960000,124022087

13120000,125471020

13280000,144237189

13440000,119876154

13600000,120623410

13760000,122340924

13920000,124000684

14080000,134360335

14240000,134874133

14400000,152534428

14560000,143851544

14720000,143209974

14880000,132500753

15040000,133616900

15200000,135299109

15360000,143349053

15520000,151939015

15680000,150700096

15840000,152325860

